verb,level
Định nghĩa,1
Xác định,1
Liệt kê,1
Kể tên,1
Nhắc lại,1
Trình bày,1
Phát biểu,1
Bắt cặp,1
Mô tả,1
Phân loại,2
Chứng minh,2
Thảo luận,2
Thảo luận,2
Giải thích,2
Diễn giải,2
Chọn lựa,2
Tóm tắt,2
Tính toán,3
Chuyển đổi,3
Biên soạn,3
Viết hồ sơ,3
Viết bệnh án,3
Thực hiện,3
Vẽ sơ đồ,3
Vẽ bản đồ,3
Phác thảo,3
Điều chỉnh,3
Cải biên,3
Sắp xếp,3
Tổ chức,3
Lập kế hoạch,3
Sử dụng,3
Chế tạo,3
Trình diễn,3
Giải quyết,3
Chăm sóc,3
Phân nhỏ,4
Kết hợp,4
So sánh,4
Liên kết,4
Đối chiếu,4
Tranh biện,4
Phân biệt,4
Phân tích,4
Tiên đoán,4
Dự đoán,4
Nghiên cứu,4
Tách chiết,4
Thực nghiệm,4
Hỏi bệnh có định hướng,4
Khám bệnh có định hướng,4
Chẩn đoán phân biệt,4
Tiên lượng,4
Thẩm định,5
Định giá,5
Tranh luận,5
Kết luận,5
Thuyết phục,5
Phân độ,5
Khảo sát,5
Biện luận,5
Đo lường,5
Xếp hạng,5
Định giá,5
Tính điểm,5
Chọn lọc,5
Thẩm định,5
Định giá,5
Tranh luận,5
Kết luận,5
Thuyết phục,5
Phân độ,5
Khảo sát,5
Biện luận,5
Đo lường,5
Xếp hạng,5
Định giá,5
Tính điểm,5
Chọn lọc,5
Soạn thảo,6
Xây dựng,6
Tạo ra,6
Thiết kế,6
Phát triển,6
Hướng dẫn,6
Sản xuất,6
Đề nghị,6
Sửa đổi,6
Chẩn đoán,6
Đề nghị,6
Điều trị,6
Xử trí,6
Cho y lệnh,6
Phòng ngừa,6
Dự phòng,6
Thực hiện thăm khám,6
Thực hiện thủ thuật,6
Tham vấn,6
